,hidden_dim1,hidden_dim2,hidden_dim3,lr,batch_size,epochs,accuracy
154,512,256,128,0.0001,128,250,0.6469904780387878
155,512,256,128,0.0001,128,500,0.634441077709198
156,512,256,128,0.0001,512,50,0.5672786235809326
157,512,256,128,0.0001,512,100,0.6297931671142578
158,512,256,128,0.0001,512,250,0.6469904780387878
159,512,256,128,0.0001,512,500,0.6279340386390686
160,512,256,128,2e-05,32,50,0.4489890933036804
161,512,256,128,2e-05,32,100,0.5221938490867615
162,512,256,128,2e-05,32,250,0.6007436513900757
163,512,256,128,2e-05,32,500,0.6376946568489075
164,512,256,128,2e-05,64,50,0.45851731300354004
165,512,256,128,2e-05,64,100,0.5168487429618835
166,512,256,128,2e-05,64,250,0.5958633422851562
167,512,256,128,2e-05,64,500,0.6356030702590942
168,512,256,128,2e-05,128,50,0.4640948176383972
169,512,256,128,2e-05,128,100,0.5289332866668701
170,512,256,128,2e-05,128,250,0.6026028394699097
171,512,256,128,2e-05,128,500,0.6383918523788452
172,512,256,128,2e-05,512,50,0.47083431482315063
173,512,256,128,2e-05,512,100,0.5182430744171143
174,512,256,128,2e-05,512,250,0.6049268245697021
175,512,256,128,2e-05,512,500,0.6388566493988037
176,512,256,128,0.001,32,50,0.6416453719139099
177,512,256,128,0.001,32,100,0.6423425674438477
178,512,256,128,0.001,32,250,0.6409481763839722
179,512,256,128,0.001,32,500,0.630955159664154
180,512,256,128,0.001,64,50,0.6360678672790527
181,512,256,128,0.001,64,100,0.6528003811836243
182,512,256,128,0.001,64,250,0.6430397629737854
183,512,256,128,0.001,64,500,0.6411805748939514
184,512,256,128,0.001,128,50,0.6300255656242371
185,512,256,128,0.001,128,100,0.6330467462539673
186,512,256,128,0.001,128,250,0.6460608839988708
187,512,256,128,0.001,128,500,0.6407157778739929
188,512,256,128,0.001,512,50,0.6411805748939514
189,512,256,128,0.001,512,100,0.6300255656242371
190,512,256,128,0.001,512,250,0.6423425674438477
191,512,256,128,0.001,512,500,0.638159453868866
192,1024,128,64,0.0001,32,50,0.5775040984153748
193,1024,128,64,0.0001,32,100,0.6337438821792603
194,1024,128,64,0.0001,32,250,0.6490820646286011
195,1024,128,64,0.0001,32,500,0.6432721614837646
196,1024,128,64,0.0001,64,50,0.5563560128211975
197,1024,128,64,0.0001,64,100,0.6325819492340088
198,1024,128,64,0.0001,64,250,0.6546595692634583
199,1024,128,64,0.0001,64,500,0.637229859828949
200,1024,128,64,0.0001,128,50,0.5714617967605591
201,1024,128,64,0.0001,128,100,0.632814347743988
202,1024,128,64,0.0001,128,250,0.6500116586685181
203,1024,128,64,0.0001,128,500,0.6428073644638062
204,1024,128,64,0.0001,512,50,0.5805252194404602
205,1024,128,64,0.0001,512,100,0.6335115432739258
206,1024,128,64,0.0001,512,250,0.6448988914489746
207,1024,128,64,0.0001,512,500,0.6418777704238892
208,1024,128,64,2e-05,32,50,0.4864048361778259
209,1024,128,64,2e-05,32,100,0.5493841767311096
210,1024,128,64,2e-05,32,250,0.6079479455947876
211,1024,128,64,2e-05,32,500,0.636300265789032
212,1024,128,64,2e-05,64,50,0.5024401545524597
213,1024,128,64,2e-05,64,100,0.5305600762367249
214,1024,128,64,2e-05,64,250,0.6021380424499512
215,1024,128,64,2e-05,64,500,0.6409481763839722
216,1024,128,64,2e-05,128,50,0.46293285489082336
217,1024,128,64,2e-05,128,100,0.5391587615013123
218,1024,128,64,2e-05,128,250,0.6100395321846008
219,1024,128,64,2e-05,128,500,0.6374622583389282
220,1024,128,64,2e-05,512,50,0.45201024413108826
221,1024,128,64,2e-05,512,100,0.5221938490867615
222,1024,128,64,2e-05,512,250,0.6074831485748291
